id,code,original,human,original_okay,count
6367676d1a6d9265ec018229,"public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
","Trim the elements of the given String array, calling String.trim() on each of them.",Trim each element in the given string array and return the resulting array.,yes,yes
6367670b1a6d9265ec017a00,"public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
","Checks whether two arrays are the same length, treating null arrays as length 0.",Check whether the length of the given two byte arrays is the same.,yes,yes
636766a91a6d9265ec0175c2,"private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
",Pops an abstract type from the output frame stack and returns its value.,Pop an abstract type from the output frame stack and return its value.,yes,yes
636767081a6d9265ec017989,"public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
",Converts an array of object Booleans to primitives. ,Convert the given Boolean array to primitives. ,yes,yes
6367672d1a6d9265ec017c73,"public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
","Returns true if the message should be printed in the given timestamp, otherwise returns false. ","If the message does not exist in the dict messages, or it exists but the timestamp (seconds) difference is bigger than 10, put the message and timestamp into messages and return true, otherwise return false.",yes,yes
636766f81a6d9265ec01775c,"public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","Gets the toString of an Object returning an empty string ("""") if null input. ","Return the string representation of the given object, return an empty string if the object is null.",yes,yes
6367667f1a6d9265ec017457,"private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
",Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.,"Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.",yes,yes
636766aa1a6d9265ec0175ce,"int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","Starts the visit of a new stack map frame, stored in currentFrame.","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.",yes,yes
636767191a6d9265ec017c0f,"private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
",Enlarges this byte vector so that it can receive 'size' more bytes.,"Enlarge the byte vector data, by increasing it by the given size.",yes,yes
636767821a6d9265ec0183a0,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
",Delete's the specified file if it exists.,Delete the given file if it exists,yes,yes
