id,function_name,codeFunctions,originalComment,codeComment
501,add_task,"def add_task(task: TaskConfig, position: Optional[InsertionPoint] = None):
    
    framework = get_framework()
    module = get_framework_module(framework)

    if task.name in get_task_method_names():
        raise ValidationError(f""Task `{task.name}` already exists in {get_entrypoint_path(framework)}"")

    return module.add_task(task, position)",Add a task to the user's project.,"Add a new task to a framework, ensuring no duplicates exist."
502,slugify_did,"def slugify_did(cloud_server: str, did: str) -> str:
    
    return slugify(f'{cloud_server}_{did}', separator='_')",Slugify a device id.,Transforms a cloud server and DID into a URL-friendly slug format.
503,load_from_yaml,"def load_from_yaml(self, file_path: Union[str, Path]) -> None:
        
        file_path = Path(file_path)
        if not file_path.exists():
            raise FileNotFoundError(f""YAML file '{file_path}' not found"")
        with file_path.open(""r"") as f:
            data = yaml.safe_load(f)
        try:
            self.workflow = WorkflowDefinition.model_validate(data)
            self._ensure_dependencies()
        except ValidationError as e:
            raise ValueError(f""Invalid workflow YAML: {e}"")",Load a workflow from a YAML file with validation.,Load and validate workflow configuration from a YAML file.
504,chess_transform,"def chess_transform(move_sequence: str) -> set:
    
    move_sequence = str_to_set(move_sequence)
    return {move_san.removesuffix(""!"").removesuffix(""#"") for move_san in move_sequence}",Transform a sequence of chess moves encoded in SAN into a set.,"Convert chess move sequence to a set, removing exclamation and hash suffixes."
505,_update_progress,"def _update_progress(self, stage: str, step: str, percentage: float, message: str):
        
        try:
            self.progress.progress.update_progress(
                stage,  # stage
                step,   # step
                Status.IN_PROGRESS,
                percentage
            )
            logger.info(f""Progress updated: {percentage}% - {message}"")
        except Exception as e:
            logger.error(f""Progress callback error: {str(e)}"")",Update progress for any stage and step,Update and log task progress with error handling.
506,post_cast,"def post_cast(self, message: str, image_url: Optional[str] = None) -> Tuple[Optional[str], Optional[str]]:
        
        try:
            endpoint = f""{self.base_url}/cast""

            data = {
                ""signer_uuid"": self.signer_uuid,
                ""text"": message,
            }

            if image_url:
                data[""embeds""] = [{""url"": image_url}]

            response = requests.post(endpoint, headers=self.headers, json=data)

            if response.status_code == 200:
                result = response.json()
                cast_hash = result.get(""cast"", {}).get(""hash"")
                username = result.get(""cast"", {}).get(""author"", {}).get(""username"")
                logger.info(f""Successfully posted cast with hash: {cast_hash}"")
                return cast_hash, username
            else:
                logger.error(f""Failed to post cast. Status: {response.status_code}, Response: {response.text}"")
                return None, None

        except Exception as e:
            logger.error(f""Error posting cast: {str(e)}"")
            return None, None","Post a cast to Farcaster, optionally with an image",Post a message with optional image and return cast hash and author username.
507,delete_empty_dirs_after_rename_or_delete,"def delete_empty_dirs_after_rename_or_delete(pdf_current_file_name: str, user_id: str):
    

    current_path = MEDIA_ROOT / pdf_current_file_name

    pdf_current_file_name_adjusted = pdf_current_file_name.replace(f'{user_id}/pdf/', '')

    for _ in pdf_current_file_name_adjusted.split('/'):
        current_parent_path = current_path.parent
        sub_paths = [sub_path for sub_path in current_parent_path.iterdir()]

        if not sub_paths:
            current_parent_path.rmdir()
            current_path = current_parent_path
        else:
            break",Delete empty directories in the users media/pdf directory that appear as a result of renaming or deleting pdfs.,Remove empty directories after renaming or deleting a PDF file.
508,temp_config_file,"def temp_config_file(tmp_path, temp_prompts_file):
    
    config_data = {
        ""prompts"": {
            ""inline_prompt"": ""This is an inline prompt"",
            ""another_inline"": ""Another inline prompt"",
        }
    }
    config_file = tmp_path / ""test_config.yaml""
    with open(config_file, ""w"") as f:
        yaml.safe_dump(config_data, f)
    return config_file",Create a temporary config file for testing.,Create temporary YAML config file with predefined prompts.
509,visit_Module,"def visit_Module(self, node):
        
        logger.debug(f""Visiting module with {len(node.body)} top-level statements"")
        for item in node.body:
            logger.debug(f""Processing top-level node: {type(item).__name__}"")
            if isinstance(item, ast.FunctionDef):
                self.visit_FunctionDef(item)
            elif isinstance(item, ast.AsyncFunctionDef):
                self.visit_AsyncFunctionDef(item)
            else:
                self.visit(item)",Log and explicitly process top-level statements in the module.,"Traverse and process top-level nodes in a module, handling functions specifically."
510,_display_final_summary,"def _display_final_summary(state: ConversationState):
    
    console.print(
        Panel.fit(
            f""[bold green]Conversation Summary[/bold green]\n\n""
            f""Total turns: {state.current_turn}\n""
            f""Messages exchanged: {len(state.messages)}\n""
            f""Requirements tracked: {len(state.requirements)}\n""
            f""Conversation ID: {state.conversation_id}"",
            border_style=""green"",
        )
    )",Display final conversation summary,Display a formatted summary of conversation details in the console
