Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,function_name,codeFunctions,originalComment,codeComment,human_conciseness,human_fluency,human_content_adequacy,BLEU_1,ROUGE_1_P,ROUGE_W_R,CodeT5_plus_CS,BERTScore_R,SentenceBERT_CS,InferSent_CS,SIDE_score,C_Coeff,SIDE_emb,model_content_adequacy,model_conciseness,model_fluency
0,0,0,1,register_component_producer,"def register_component_producer(self, component_id: str, atom_name: str):
        
        logger.info(f""[DAG] Registering component producer {component_id=} {atom_name=}"")
        if atom_name in self.atoms:
            self._component_producers[component_id] = atom_name
            if self._current_atom:
                logger.info(f""[DAG] Component registered while atom was active self._current_atom={self._current_atom}"")
        else:
            logger.warning(f""[DAG] Skipping producer registration for unknown atom {atom_name=}"")",Link a component ID to its producing atom for DAG traceability.,"Register a component producer if the atom is recognized, logging the process.",5.0,5.0,4.0,0.6623376623376623,0.3333333333333333,0.3636363636363636,0.6310045719146729,0.25225818,0.65132374,0.71601033,0.8919727802276611,0.5,0.7973032444927464,4.0,5.0,5.0
1,1,1,2,process_in_batches,"def process_in_batches(tx, query, data, batch_size):
    
    for i in range(0, len(data), batch_size):
        batch = data[i : i + batch_size]
        tx.run(query, {""nodes"": batch} if ""nodes"" in query else {""edges"": batch})",Process data in batches and execute the given query.,Execute database queries in specified data batches,5.0,5.0,4.0,0.7686315513218586,0.7142857142857143,0.2222222222222222,0.4729007482528686,0.4238502,0.7193144,0.8215326,0.7848321199417114,0.2857142857142857,0.5190874842878558,4.0,5.0,4.0
2,2,2,3,filter_property,"def filter_property(self, siid: int, piid: int) -> bool:
        
        if (self._cache and 'properties' in self._cache and
            (f'{siid}.{piid}' in self._cache['properties'] or
             f'{siid}.*' in self._cache['properties'])):
            return True
        return False",Filter property by piid.,Check if a property identifier exists in a cached properties list.,5.0,5.0,5.0,0.3181818181818182,0.0909090909090909,0.25,0.6381975412368774,0.014677439,0.39078256,0.46684375,0.8636414408683777,0.1818181818181818,0.4972126613698171,5.0,5.0,5.0
3,3,3,4,_save_ontology_to_db,"def _save_ontology_to_db(self, ontology: ""Ontology"") -> None:  # type: ignore[no-any-unimported]
        
        if self.ontology_table_name in self.falkordb.list_graphs():
            raise ValueError(f""Knowledge graph {self.name} is already created."")
        graph = self.__get_ontology_storage_graph()
        ontology.save_to_graph(graph)",Save graph ontology to a separate table with {graph_name}_ontology,Save ontology data to a database if not already present.,4.0,5.0,3.0,0.7169694062511285,0.4,0.3636363636363636,0.6559760570526123,0.114257924,0.60543215,0.752154,0.8400108814239502,0.4,0.6083726831333309,4.0,5.0,4.0
4,4,4,5,_build_merge_function,"def _build_merge_function(self):
        

        def merge_fn(ctrl_msg: IngestControlMessage):
            do_trace_tagging = ctrl_msg.get_metadata(""config::add_trace_tagging"") is True
            if do_trace_tagging:
                ts_exit = datetime.now()
                ctrl_msg.set_timestamp(f""trace::exit::{self._task_desc}"", ts_exit)
                ctrl_msg.set_timestamp(""latency::ts_send"", ts_exit)
            return ctrl_msg

        return merge_fn",Adds tracing metadata to the control message and marks its completion.,Create a function to add trace timestamps to control messages if configured.,5.0,5.0,5.0,0.8289473684210527,0.4166666666666667,0.4545454545454545,0.5998378992080688,0.25483575,0.64156693,0.7810613,0.1350888907909393,0.1666666666666666,0.5122861707446339,5.0,5.0,5.0
5,5,5,6,filter_paths,"def filter_paths(openapi_schema: Dict[str, Any]) -> Dict[str, Any]:
    
    if ""paths"" not in openapi_schema:
        return openapi_schema

    filtered_paths = {}
    for path, path_item in openapi_schema[""paths""].items():
        include_path = False
        filtered_operations = {}

        for method, operation in path_item.items():
            if method.lower() in [""get"", ""post"", ""put"", ""delete"", ""patch""] and is_included_endpoint(
                path, method
            ):
                filtered_operations[method] = operation
                include_path = True

        if include_path:
            filtered_paths[path] = filtered_operations

    openapi_schema[""paths""] = filtered_paths
    return openapi_schema",Filter OpenAPI paths to only include allowed endpoints.,Filter OpenAPI schema paths to include specific HTTP methods.,5.0,5.0,4.0,0.7213114754098361,0.5555555555555556,0.625,0.5106111764907837,0.64834565,0.64581263,0.772147,0.8323187828063965,0.1111111111111111,0.547954485330062,4.0,5.0,4.0
6,6,6,7,_handle_task_completion,"def _handle_task_completion(self, task: asyncio.Task) -> None:
        
        task_id = getattr(task, ""task_id"", ""unknown"")
        self.pending_tasks.discard(task)

        if task.cancelled():
            logger.warning(f""🚫 WORKER_CANCELLED [{task_id}] Task was cancelled"")
        elif task.exception() is not None:
            logger.error(
                f""💥 WORKER_EXCEPTION [{task_id}] Task completed with exception: {task.exception()}""
            )
        else:
            logger.info(f""🏁 WORKER_CLEANUP [{task_id}] Task cleaned up successfully"")",Handle task completion and clean up.,"Handle task completion by logging cancellation, exceptions, or successful cleanup",5.0,5.0,5.0,0.419753086419753,0.3,0.5,0.5721233487129211,0.6253988,0.7242328,0.6885105,0.964098572731018,0.1,0.598506914267946,5.0,5.0,5.0
7,7,7,8,_get_mime_type,"def _get_mime_type(self) -> str:
        
        if self._format:
            return f""image/{self._format.lower()}""

        if self.path:
            suffix = self.path.suffix.lower()
            return {
                "".png"": ""image/png"",
                "".jpg"": ""image/jpeg"",
                "".jpeg"": ""image/jpeg"",
                "".gif"": ""image/gif"",
                "".webp"": ""image/webp"",
            }.get(suffix, ""application/octet-stream"")
        return ""image/png""",Get MIME type from format or guess from file extension.,Determine the MIME type of an image based on its format or file extension.,5.0,5.0,5.0,0.6891891891891891,0.4285714285714285,0.6,0.6272716522216797,0.51242065,0.7909616,0.8087659,0.8961490988731384,0.0714285714285714,0.5684769679577544,5.0,5.0,5.0
8,8,8,9,__init__,"def __init__(self, servers: list[dict[str, Any]], title: Optional[str] = None, **kwargs: Any) -> None:
        
        self._servers = servers
        self._title = title or ""MCP Proxy""
        self._kwargs = kwargs
        self._registered_funcs: list[Callable[..., Any]] = []
        self._globals: dict[str, Any] = {}

        self._security: dict[str, list[BaseSecurity]] = {}
        self._security_params: dict[Optional[str], BaseSecurityParameters] = {}
        self._tags: set[str] = set()

        self._function_group: dict[str, list[str]] = {}",Proxy class to generate client from OpenAPI schema.,"Initialize proxy configuration with server details, title, and security settings.",5.0,5.0,4.0,0.5432098765432098,0.1,0.125,0.49542897939682,0.2673516,0.4459738,0.652683,0.8704290986061096,0.3,0.5274969763272273,3.0,4.0,5.0
9,9,9,10,check_and_install_dependencies,"def check_and_install_dependencies():
    
    required_packages = [
        ""gunicorn"",
        ""tiktoken"",
        ""psutil"",
        # Add other required packages here
    ]

    for package in required_packages:
        if not pm.is_installed(package):
            print(f""Installing {package}..."")
            pm.install(package)
            print(f""{package} installed successfully"")",Check and install required dependencies,"Ensure required software packages are installed, installing if necessary.",5.0,5.0,4.0,0.4794520547945205,0.2222222222222222,0.2,0.629093587398529,0.3499059,0.7228939,0.74307513,0.9805846214294434,0.4444444444444444,0.5033793549581349,5.0,5.0,5.0
